Name,Bat Speed,Swing Length,Time to Contact,Swing Acceleration
"Arenado, Nolan",70.7,8.2,0.158,20.37799033
"Witt Jr., Bobby",74.7,7.1,0.130,26.27357869
"Frelick, Sal",66.3,6.9,0.142,21.29679952
"Correa, Carlos",74.5,7.3,0.134,25.41710377
"Walker, Christian",75,7.5,0.136,25.0725
"Winn, Masyn",70.2,7.3,0.142,22.5677229
"Buxton, Byron",74.3,8.1,0.149,22.78394823
"Westburg, Jordan",71,6.8,0.131,24.78244559
"Taylor, Michael A.",74,7.2,0.133,25.42537222
"Acuña, Luisangel",73.5,7.3,0.135,24.73934486
"Burger, Jake",74.7,7.5,0.137,24.87232116
"Ortiz, Joey",73.4,7.5,0.139,24.01415077
"Walsh, Jared",75,7.6,0.138,24.74259868
"Díaz, Yandy",73.3,7.5,0.140,23.94876169
"Urías, Luis",68.3,7.7,0.154,20.25289256
"Candelario, Jeimer",68.4,7.8,0.155,20.05182831
"Encarnacion-Strand, Christian",71.3,7.2,0.138,23.6038551
"McCutchen, Andrew",72.7,7.6,0.143,23.24832167
"Del Castillo, Adrian",72.4,7.2,0.136,24.33778289
"Blackmon, Charlie",67.4,7.1,0.144,21.38936152
"Gonzales, Nick",71.1,7.3,0.140,23.15009182
"Ruiz, Esteury",72.4,7.6,0.143,23.05684695
"Smith, Will",67.9,7.2,0.145,21.40638976
"Kirilloff, Alex",72.4,7.8,0.147,22.46564574
"Mervis, Matt",74.9,7.9,0.144,23.73957396
"Berroa, Steward",69.5,6.8,0.133,23.7463614
"Kelenic, Jarred",72.7,7.3,0.137,24.20373215
"Crawford, J.P.",71.9,7.3,0.138,23.67398114
"Harris II, Michael",74.7,8.1,0.148,23.029927
"Paredes, Isaac",68.2,8,0.160,19.43636915
"Pérez, Wenceel",70.3,6.9,0.134,23.94406793
"Anderson, Tim",69.7,7.2,0.141,22.55638176
"Gelof, Zack",71.6,7.3,0.139,23.47683573
"Giménez, Andrés",68.2,7,0.140,22.21299331
"Rortvedt, Ben",69.7,7.1,0.139,22.87407728
"Grissom, Vaughn",69.1,7.3,0.144,21.86601347
"Wong, Connor",72,7.3,0.138,23.73987945
"Mullins II, Cedric",70.9,7.5,0.144,22.40616777
"Refsnyder, Rob",72.8,7.6,0.142,23.31232253
"Reynolds, Bryan",71.5,6.8,0.130,25.13272316
"Leblanc, Charles",70.5,7,0.135,23.73649393
"McKinney, Billy",68.6,6.9,0.137,22.80003519
"Canario, Alexander",78,8,0.140,25.423515
"Walton, Donovan",67.8,6.5,0.131,23.64190172
"Kennedy, Buddy",69.6,7.1,0.139,22.80848856
"Dunn, Blake",71.6,6.9,0.131,24.83781171
"Peterson, Jace",66.4,6.9,0.142,21.36109171
"Hiura, Keston",72.7,7.4,0.139,23.87665469
"Vosler, Jason",71,7.5,0.144,22.46941733
"Alvarez Jr., Nacho",68.9,7.4,0.146,21.44584193
"Goodrum, Niko",72.6,7.6,0.143,23.18440879
"Stevenson, Cal",68.9,7.1,0.141,22.35200427
"Salazar, César",67.7,7.1,0.143,21.58019503
"Colás, Oscar",75,7.4,0.135,25.41131757
"Sabol, Blake",71.2,7.2,0.138,23.53769156
"Foscue, Justin",69.9,7,0.137,23.33418776
"Wall, Forrest",69.2,6.8,0.134,23.54179929
"Ornelas, Jonathan",70.2,7,0.136,23.53491103
"White, Eli",71,7.1,0.136,23.7353
"Wendle, Joey",68,6.9,0.138,22.40294493
"Alvarez, Armando",68.4,7,0.140,22.34346583
"Amador, Adael",71.3,7.5,0.143,22.65970089
"Driscoll, Logan",69.5,7.5,0.147,21.53003433
"Cook, Billy",72.3,7.5,0.141,23.29977396
"Black, Tyler",68.6,7,0.139,22.4743204
"Bote, David",73.9,7.8,0.144,23.40618594
"Whitcomb, Shay",70.4,7.4,0.143,22.38978768
"Paris, Kyren",72.3,6.9,0.130,25.32584126
"Wendzel, Davis",71.9,7.1,0.135,24.34085385
"Hensley, David",70.6,6.8,0.131,24.50399335
"Tromp, Chadwick",72.7,7.9,0.148,22.36547401
"Domínguez, Jasson",75.4,7.7,0.139,24.68245439
"Dahl, David",68.1,7.2,0.144,21.53268088
"Campero, Gustavo",66.8,6.6,0.135,22.6019217
"Haase, Eric",71.2,7.2,0.138,23.53769156
"Dezenzo, Zach",75.4,7.5,0.136,25.34065317
